area,areaid,dailydose1,dailydose2,daydiff,daytotal,referencedate,totaldistinctpersons,totaldose1,totaldose2,totalvaccinations
ΠΑΡΟΥ,1210,0,0,-12,0,2021-03-13T00:00:00,310,310,308,618
ΠΕΙΡΑΙΩΣ,908,1142,278,-24,1420,2021-03-13T00:00:00,35028,35028,15650,50678
ΠΕΛΛΑΣ,204,380,64,25,444,2021-03-13T00:00:00,11131,11131,5602,16733
ΠΙΕΡΙΑΣ,205,257,42,8,299,2021-03-13T00:00:00,7070,7070,4200,11270
ΠΡΕΒΕΖΑΣ,404,134,48,-6,182,2021-03-13T00:00:00,4681,4681,1264,5945
ΡΕΘΥΜΝΟΥ,1303,177,56,-35,233,2021-03-13T00:00:00,7216,7216,2573,9789
ΡΟΔΟΠΗΣ,106,128,103,18,231,2021-03-13T00:00:00,5057,5057,2455,7512
ΡΟΔΟΥ,1211,265,306,235,571,2021-03-13T00:00:00,6509,6509,2988,9497
ΣΑΜΟΥ,1104,64,7,7,71,2021-03-13T00:00:00,2221,2221,923,3144
ΣΕΡΡΩΝ,206,195,165,12,360,2021-03-13T00:00:00,10513,10513,3825,14338
ΣΠΟΡΑΔΩΝ,504,6,23,-19,29,2021-03-13T00:00:00,485,485,276,761
ΣΥΡΟΥ,1212,42,6,-12,48,2021-03-13T00:00:00,1385,1385,884,2269
ΤΗΝΟΥ,1213,1,5,-6,6,2021-03-13T00:00:00,320,320,297,617
ΤΡΙΚΑΛΩΝ,505,179,144,-29,323,2021-03-13T00:00:00,10266,10266,5223,15489
ΦΘΙΩΤΙΔΑΣ,804,241,137,-1,378,2021-03-13T00:00:00,8959,8959,3974,12933
ΦΛΩΡΙΝΑΣ,304,127,44,-9,171,2021-03-13T00:00:00,4508,4508,1778,6286
ΦΩΚΙΔΑΣ,805,13,46,-14,59,2021-03-13T00:00:00,2428,2428,1091,3519
ΧΑΛΚΙΔΙΚΗΣ,207,203,58,-63,261,2021-03-13T00:00:00,8224,8224,2588,10812
ΧΑΝΙΩΝ,1304,479,34,-28,513,2021-03-13T00:00:00,14359,14359,6911,21270
ΧΙΟΥ,1105,115,30,-6,145,2021-03-13T00:00:00,4287,4287,1936,6223
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,701,0,0,-380,0,2021-03-15T00:00:00,10889,10889,4375,15264
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,901,5,31,-843,36,2021-03-15T00:00:00,23145,23145,9934,33079
ΑΝΔΡΟΥ,1201,0,0,-11,0,2021-03-15T00:00:00,308,308,288,596
ΑΡΓΟΛΙΔΑΣ,1001,0,0,-262,0,2021-03-15T00:00:00,6945,6945,3050,9995
ΑΡΚΑΔΙΑΣ,1002,0,0,-252,0,2021-03-15T00:00:00,6959,6959,2839,9798
ΑΡΤΑΣ,401,0,0,-187,0,2021-03-15T00:00:00,5141,5141,3345,8486
ΑΧΑΪΑΣ,702,0,0,-745,0,2021-03-15T00:00:00,19933,19933,10207,30140
ΒΟΙΩΤΙΑΣ,801,0,0,-374,0,2021-03-15T00:00:00,10017,10017,2918,12935
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,902,13,278,-1888,291,2021-03-15T00:00:00,122178,122178,48394,170572
ΓΡΕΒΕΝΩΝ,301,0,0,-100,0,2021-03-15T00:00:00,2806,2806,1302,4108
ΔΡΑΜΑΣ,101,0,0,-280,0,2021-03-15T00:00:00,6822,6822,3404,10226
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,903,0,0,-211,0,2021-03-15T00:00:00,8072,8072,3020,11092
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,904,0,42,-1310,42,2021-03-15T00:00:00,33380,33380,17856,51236
ΕΒΡΟΥ,102,0,0,-485,0,2021-03-15T00:00:00,12505,12505,5722,18227
ΕΥΒΟΙΑΣ,802,0,0,-471,0,2021-03-15T00:00:00,14686,14686,6206,20892
ΕΥΡΥΤΑΝΙΑΣ,803,0,0,-53,0,2021-03-15T00:00:00,1590,1590,679,2269
ΖΑΚΥΝΘΟΥ,601,0,0,-57,0,2021-03-15T00:00:00,2391,2391,1354,3745
ΗΛΕΙΑΣ,703,0,0,-352,0,2021-03-15T00:00:00,8971,8971,3834,12805
ΗΜΑΘΙΑΣ,201,0,0,-380,0,2021-03-15T00:00:00,9435,9435,4900,14335
ΗΡΑΚΛΕΙΟΥ,1301,0,0,-716,0,2021-03-15T00:00:00,20709,20709,10114,30823
ΘΑΣΟΥ,103,0,0,0,0,2021-03-15T00:00:00,442,442,432,874
ΘΕΣΠΡΩΤΙΑΣ,402,0,0,-177,0,2021-03-15T00:00:00,5164,5164,2203,7367
ΘΕΣΣΑΛΟΝΙΚΗΣ,202,1,0,-2942,1,2021-03-15T00:00:00,97502,97503,44720,142223
ΘΗΡΑΣ,1202,0,0,-30,0,2021-03-15T00:00:00,863,863,378,1241
ΙΘΑΚΗΣ,602,0,0,-60,0,2021-03-15T00:00:00,664,664,122,786
ΙΚΑΡΙΑΣ,1101,0,0,-9,0,2021-03-15T00:00:00,1433,1433,682,2115
ΙΩΑΝΝΙΝΩΝ,403,0,0,-492,0,2021-03-15T00:00:00,14925,14926,8433,23359
